sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Mississippi,1617753600000,16,8,16,25,-19,2
Montana,1617753600000,11,11,61,12,-16,2
Oklahoma,1617753600000,12,11,28,13,-20,3
Idaho,1617753600000,10,11,91,9,-19,3
West Virginia,1617753600000,11,9,49,6,-21,3
Wyoming,1617753600000,-2,1,32,8,-18,3
Alabama,1617753600000,13,11,29,9,-21,3
Arkansas,1617753600000,9,7,37,9,-19,4
Tennessee,1617753600000,9,10,78,-5,-23,4
Louisiana,1617753600000,2,3,6,-4,-26,4
South Carolina,1617753600000,13,7,58,13,-30,4
North Dakota,1617753600000,-3,-9,25,-6,-17,4
Missouri,1617753600000,7,3,-2,-1,-22,4
Kansas,1617753600000,-1,1,14,3,-21,5
South Dakota,1617753600000,5,12,32,12,-16,5
Kentucky,1617753600000,5,10,84,2,-29,5
Ohio,1617753600000,6,4,133,-3,-27,5
Indiana,1617753600000,5,2,76,0,-25,5
Iowa,1617753600000,6,17,48,-3,-19,5
Georgia,1617753600000,2,2,47,-16,-37,6
Nebraska,1617753600000,2,2,4,-3,-20,6
Florida,1617753600000,-4,-1,2,-21,-26,6
North Carolina,1617753600000,0,5,55,-13,-33,6
Nevada,1617753600000,-3,3,3,-21,-31,7
Utah,1617753600000,1,3,95,-20,-33,7
New Mexico,1617753600000,-3,-1,6,-3,-31,7
Wisconsin,1617753600000,-3,2,80,-11,-25,7
Alaska,1617753600000,3,3,8,-15,-19,7
Texas,1617753600000,-3,0,10,-16,-28,7
Arizona,1617753600000,-5,-1,-2,-12,-31,7
Rhode Island,1617753600000,-7,-5,100,-35,-30,7
Maine,1617753600000,4,6,43,-16,-25,7
Michigan,1617753600000,-1,2,121,-16,-34,8
Connecticut,1617753600000,-4,-5,57,-24,-31,8
Pennsylvania,1617753600000,-3,3,67,-28,-30,8
Colorado,1617753600000,-8,-1,33,-26,-33,8
Delaware,1617753600000,2,1,50,-26,-36,8
Oregon,1617753600000,-3,2,48,-25,-34,8
Virginia,1617753600000,-4,3,75,-24,-37,9
Illinois,1617753600000,-7,0,42,-31,-33,9
New Hampshire,1617753600000,-1,1,65,-14,-28,9
Vermont,1617753600000,-8,0,51,-36,-32,10
Hawaii,1617753600000,-23,-11,-27,-41,-31,10
New York,1617753600000,-16,-4,30,-42,-38,10
Washington,1617753600000,-10,-4,18,-40,-42,10
Minnesota,1617753600000,-6,-5,18,-30,-31,10
New Jersey,1617753600000,-10,-2,75,-38,-41,11
Maryland,1617753600000,-8,-2,73,-34,-39,11
California,1617753600000,-18,-8,-2,-41,-41,11
Massachusetts,1617753600000,-14,-7,26,-51,-39,11
District of Columbia,1617753600000,-41,-17,-14,-67,-57,16
